Name,Address
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동)
논현역사거리,서울특별시 강남구 강남대로 538 (논현동)
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)
대치재경빌딩R,서울특별시 강남구 남부순환로 2947 (대치동)
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동)
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동)
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동)
압구정R,서울특별시 강남구 언주로 861 (신사동)
수서역R,서울특별시 강남구 광평로 281 (수서동)
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동)
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동)
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동)
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동)
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호
강남구청정문,서울특별시 강남구 학동로 419 (청담동)
도곡공원,서울특별시 강남구 도곡로 205 (역삼동)
강남R,서울특별시 강남구 강남대로 390 (역삼동)
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동)
청담영동대로,서울특별시 강남구 영동대로 720 (청담동)
압구정,서울특별시 강남구 압구정로30길 17 (신사동)
신사가로수,서울특별시 강남구 가로수길 59
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동)
강남우성,서울특별시 강남구 강남대로 328 (역삼동)
학동사거리,서울특별시 강남구 도산대로 328 (논현동)
대치사거리,서울특별시 강남구 삼성로 402 (대치동)
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)"
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워
도곡역,서울특별시 강남구 남부순환로 2909 (대치동)
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)"
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동)
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)"
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)"
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)"
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)"
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)"
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동)
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층"
학동역,서울특별시 강남구 논현로 704 (논현동)
대치,서울특별시 강남구 도곡로 511 (대치동)
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)"
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)"
선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)"
압구정로,서울특별시 강남구 압구정로42길 32 (신사동)
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동)
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)"
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)"
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호
포이,서울특별시 강남구 논현로 88 (개포동)
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동)
학여울역,서울특별시 강남구 영동대로 215 (대치동)
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동)
GS타워,서울특별시 강남구 논현로 508 (역삼동)
압구정미소,서울특별시 강남구 논현로 841 (신사동)
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)"
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동)
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동)
청담공원,서울특별시 강남구 학동로 506 (삼성동)
신압구정,서울특별시 강남구 언주로174길 29 (신사동)
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)"
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)"
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)"
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동)
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)"
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)"
논현힐탑,서울특별시 강남구 논현로 648 (논현동)
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)"
대치한티,서울특별시 강남구 선릉로 324 (대치동)
수서역사거리,서울특별시 강남구 광평로 280 (수서동)
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동)
센터필드R,서울특별시 강남구 테헤란로 231 (역삼동)
도산사거리,서울특별시 강남구 언주로 727 (논현동)
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동)
대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동)
언주역,서울특별시 강남구 봉은사로 222 (역삼동)
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동)
삼성역,서울특별시 강남구 테헤란로 620 (대치동)
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동)
강남논현,서울특별시 강남구 강남대로 512 (논현동)
삼성동,서울특별시 강남구 영동대로96길 12 (삼성동)
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동)
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동)
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동)
미아사거리역,서울특별시 강북구 도봉로 32 (미아동)
수유역,서울특별시 강북구 도봉로 342 (번동)
미아역,서울특별시 강북구 도봉로 196 (미아동)
파라스파라서울,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동)
마곡역,서울특별시 강서구 공항대로 168 (마곡동)
우장산역,서울특별시 강서구 강서로 267 (내발산동)
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동)
방화DT,서울특별시 강서구 방화대로 375 (방화동)
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동)
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호"
가양역,서울특별시 강서구 양천로 476 (등촌동)
화곡DT,서울특별시 강서구 등촌로 57 (화곡동)
양천향교역,서울특별시 강서구 강서로 463 (마곡동)
화곡동,서울특별시 강서구 화곡로 142(화곡동)
등촌,서울특별시 강서구 공항대로 329 (등촌동)
염창역,서울특별시 강서구 공항대로 627 (염창동)
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트
까치산역,서울특별시 강서구 강서로13길 3 (화곡동)
화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부"
강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호"
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)"
가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호"
내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호"
마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호"
김포공항DT,서울특별시 강서구 개화동로 517 (방화동)
강서NC,서울특별시 강서구 강서로56길 17 (등촌동)
마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동)
강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동)
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동)
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동)
신림DT,서울특별시 관악구 남부순환로 1419 (신림동)
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동)
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동)
사당,서울특별시 관악구 남부순환로 2082-25
보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층
신림사거리,서울특별시 관악구 남부순환로 1619 (신림동)
신림,서울특별시 관악구 신림로 355-1 (신림동)
신림타임스트림,서울특별시 관악구 신림로 330 타임스트림 1층
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동)
봉천역,서울특별시 관악구 남부순환로 1730 (봉천동)
건국대,서울특별시 광진구 능동로 117 (화양동)
어린이대공원역,서울특별시 광진구 능동로 243 (군자동)
아차산역,서울특별시 광진구 천호대로 676 (구의동)
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동)
구의DT,서울특별시 광진구 광나루로 519 (구의동)
자양사거리,서울특별시 광진구 아차산로 355
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)"
건대스타시티,서울특별시 광진구 아차산로 262 (자양동)
자양,서울특별시 광진구 능동로 50 (자양동)
건대입구,서울특별시 광진구 능동로 107 (화양동)
구의역,서울특별시 광진구 아차산로 373 (구의동)
광장,서울특별시 광진구 아차산로 537-17 (광장동)
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500
건대후문,서울특별시 광진구 능동로 172 (화양동)
중곡역,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실"
자양이마트,서울특별시 광진구 아차산로 272 (자양동) 지하1층
뚝섬유원지역,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)"
군자사거리,서울특별시 광진구 천호대로 549 (중곡동) 1층
금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동)112,113,114,115호"
가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동)
독산사거리,서울특별시 금천구 시흥대로 426 (독산동)
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동)
가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동)
금천독산,서울특별시 금천구 두산로 70 (독산동)
가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동)
W-Mall,서울특별시 금천구 디지털로 188 (가산동)
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동)
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)"
독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호"
가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부"
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)"
월계트레이더스,서울특별시 노원구 마들로3길 15 (월계동)
상계초교사거리,서울특별시 노원구 노원로 449 (상계동)
공릉DT,서울특별시 노원구 동일로 1015 (공릉동)
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)"
공릉역,서울특별시 노원구 동일로 1081 (공릉동)
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)"
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)"
광운대,서울특별시 노원구 석계로 104 (월계동)
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)"
노원역,서울특별시 노원구 동일로 1413 (상계동) 1층
월계이마트,서울특별시 노원구 마들로3길 15 (월계동)
태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동)
노원상계,서울특별시 노원구 동일로215길 2 (상계동)
창동이마트,서울특별시 도봉구 노해로65길 4 (창동)
쌍문역,서울특별시 도봉구 도봉로 480 (창동)
쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동)
방학역,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호"
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호"
남성역,서울특별시 동작구 사당로 219 (사당동)
상도역,서울특별시 동작구 상도로37길 1 (상도1동)
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)"
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이)
노량진역,서울특별시 동작구 노량진로 134 (노량진동)
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동)
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동)
숭실대입구역,서울특별시 동작구 상도로 354 (상도동)
숭실대,서울특별시 동작구 사당로 4 (상도동)
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)"
서강대프라자,서울특별시 마포구 백범로 35 (신수동)
상암YTN,서울특별시 마포구 상암산로 76 (상암동)
마포용강동,서울특별시 마포구 토정로 295 (용강동)
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동)
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동)
공덕,서울특별시 마포구 마포대로 130 (공덕동)
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동)
마포염리,서울특별시 마포구 독막로 311 (염리동)
서강광흥창역,서울특별시 마포구 서강로 69 (창전동)
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2"
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동)
서교동사거리,서울특별시 마포구 양화로 105 (서교동)
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동)
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동)
상암디지털큐브,서울특별시 마포구 상암산로 34
상수역,서울특별시 마포구 독막로 88 (상수동)
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩
서강대,서울특별시 마포구 백범로 23 (신수동)
상암MBC,서울특별시 마포구 성암로 267 (상암동)
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)"
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)"
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)"
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)"
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)"
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동)
망원역,서울특별시 마포구 월드컵로 74 (서교동)
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
아현역대로,서울특별시 마포구 신촌로 262 (아현동)
디지털미디어시티역,서울특별시 마포구 성암로 179 (상암동)
홍대역8번출구,서울특별시 마포구 양화로 166 (동교동)
합정푸르지오,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오)"
망원한강공원,서울특별시 마포구 마포나루길 435 (망원동)
가재울뉴타운,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)"
남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)"
신촌역,서울특별시 서대문구 신촌로 73 (창천동)
연희동,서울특별시 서대문구 연희로 97 (연희동)
아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, e편한세상신촌 4단지)"
홍제역,서울특별시 서대문구 통일로 451 (홍제동)
연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교
연희DT,서울특별시 서대문구 연희로 144 (연희동)
경기대,서울특별시 서대문구 충정로 53 (충정로2가)
신촌,서울특별시 서대문구 연세로 10-1 (창천동)
이대R,서울특별시 서대문구 이화여대길 34 (대현동)
연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)"
이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호
연대,서울특별시 서대문구 연세로 35 (창천동)
신촌아트레온,서울특별시 서대문구 신촌로 129 (창천동)
충정로역,서울특별시 서대문구 충정로 23
연대동문,서울특별시 서대문구 성산로 565 (대신동)
신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)"
충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)"
이대역,서울특별시 서대문구 신촌로 183 (대현동)
북가좌DT,서울특별시 서대문구 응암로 85 (북가좌동)
현대신촌,서울특별시 서대문구 신촌로 83 (창천동)
방배로,서울특별시 서초구 방배로 52 (방배동)
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동)
방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동)
센트럴F1,서울특별시 서초구 신반포로 176 (반포동)
서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동)
서초구청,서울특별시 서초구 남부순환로 2557 (서초동)
서초우성사거리,서울특별시 서초구 강남대로 343 (서초동)
이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)"
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동)
서울고속터미널,서울특별시 서초구 신반포로 194 (반포동)
강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동)
방배,서울특별시 서초구 방배로 211
방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동)
서초법원,서울특별시 서초구 서초대로 274 (서초동)
청계산입구역,서울특별시 서초구 청계산로 203 (신원동)
사당로데오,서울특별시 서초구 방배천로 5-4(방배동)
파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY
교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩
양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층
이수역,서울특별시 서초구 동작대로 112 (방배동)
내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩
서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤
서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩
서초중앙로,서울특별시 서초구 서초중앙로 225
센트럴시티,서울특별시 서초구 신반포로 176 (반포동)
강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동)
방배역,서울특별시 서초구 방배로 84 (방배동)
반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가
남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)"
뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽
강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)"
교대,서울특별시 서초구 서초중앙로 118 (서초동)
하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)"
신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩
영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)"
남부터미널2,서울특별시 서초구 효령로 274 (서초동)
서래마을입구,서울특별시 서초구 서래로 48 (반포동)
몬테소리,서울특별시 서초구 강남대로 399 (서초동)
서초역,서울특별시 서초구 반포대로 118 (서초동)
교대법원,서울특별시 서초구 서초중앙로 164 (서초동)
강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동)"
서초동,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)"
서울교대,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)"
강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)"
반포자이,서울특별시 서초구 잠원로 24 (반포동)
서이초교사거리,서울특별시 서초구 사임당로 143 (서초동)
서울웨이브아트센터,서울특별시 서초구 잠원로 145-35 (잠원동)
길음역,서울특별시 성북구 정릉로 376 (돈암동)
미아이마트,서울특별시 성북구 도봉로 17 (길음동)
종암DT,서울특별시 성북구 종암로 17 (종암동)
미아,서울특별시 성북구 동소문로 314 (하월곡동)
성신여대정문,서울특별시 성북구 보문로34길 62 (동선동2가)
종암,서울특별시 성북구 종암로 122 (종암동)
삼선교,서울특별시 성북구 동소문로 10 (동소문동2가)
월곡역,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)"
고대,서울특별시 성북구 고려대로24길 51 (안암동5가)
현대미아,서울특별시 성북구 동소문로 315 (길음동) 지하1층
성신여대,서울특별시 성북구 동소문로24길 12 (동선동1가)
안암역,서울특별시 성북구 고려대로 102-2 (안암동5가)
한성대입구역,서울특별시 성북구 성북로 11 (성북동1가)
고대안암병원,서울특별시 성북구 고려대로 73 (안암동5가)
장위뉴타운,서울특별시 성북구 장월로38길 4 (장위동)
송파나루역DT,서울특별시 송파구 오금로 142 (송파동)
송파헬리오시티,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)"
잠실시그마타워,서울특별시 송파구 올림픽로 289 (신천동)
문정법원로R,서울특별시 송파구 송파대로 201 (문정동)
송파개롱역,서울특별시 송파구 오금로 420 (가락동)
문정하비오,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호"
문정역,"서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호"
잠실대교남단R,서울특별시 송파구 송파대로 570 타워 730 1층
송파위례,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)"
송파방이DT,서울특별시 송파구 오금로 241 (방이동)
올림픽평화의문,서울특별시 송파구 위례성대로 38 (방이동) 해태그린피아빌라트
송파아이파크,서울특별시 송파구 법원로 55 (문정동)
송파사거리,서울특별시 송파구 송파대로 386 (송파동)
석촌서호,서울특별시 송파구 석촌호수로 176 (삼전동)
문정로데오,서울특별시 송파구 동남로 141 (가락동)
올림픽훼미리,서울특별시 송파구 중대로 68 (문정동)
올림픽공원남문,서울특별시 송파구 위례성대로 102 (방이동)
방이역,"서울특별시 송파구 마천로 53, 1~2층 (오금동)"
석촌호수,서울특별시 송파구 석촌호수로 262 (송파동)
잠실푸르지오월드,"서울특별시 송파구 올림픽로35가길 9, 잠실푸르지오월드마크 1층 (신천동)"
잠실새내역,서울특별시 송파구 올림픽로 96 (잠실동)
잠실역,"서울특별시 송파구 송파대로 562 (신천동, 웰리스타워,삼성웰리스아파트) 1층,2층"
갤러리아팰리스,"서울특별시 송파구 올림픽로 212, 갤러리아 팰리스 (잠실동)"
아시아선수촌,서울특별시 송파구 백제고분로 69 (잠실동)
올림픽아파트,서울특별시 송파구 양재대로 1220 (방이동)
가락본동,서울특별시 송파구 송파대로30길 13 (가락동)
석촌역,"서울특별시 송파구 백제고분로 358, 1층 (석촌동)"
가락시장역,"서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)"
가든파이브,서울특별시 송파구 충민로 10 (문정동) 가든파이브툴
송파NC,서울특별시 송파구 충민로 66 (문정동) 가든파이브라이프 패션관1층
송파거여역,서울특별시 송파구 오금로 493 (거여동)
몽촌토성역,서울특별시 송파구 위례성대로 6 (방이동)
송파KT,"서울특별시 송파구 잠실로 209 (신천동), 오피스빌딩 1층 2~4호"
송파마천사거리DT,서울특별시 송파구 거마로 78 (마천동)
목동파리공원,서울특별시 양천구 목동동로 377 (목동)
