Name,Address
봉선이마트,광주광역시 남구 봉선로 198 (봉선동)
광주지산DT,광주광역시 동구 필문대로 240 (동명동)
광주동명,광주광역시 동구 동명로 16 (동명동)
광주지원DT,광주광역시 동구 남문로 529 (용산동)
광주지산유원지입구,광주광역시 동구 무등로 592 (산수동)
광주황금,광주광역시 동구 중앙로160번길 14 (황금동)
충장서림,"광주광역시 동구 충장로 93-5 (금남로2가, 무등맨션)"
충장일가,광주광역시 동구 서석로 43 (충장로1가)
조선대,광주광역시 동구 지산로 3 (서석동)
광주충장DT,광주광역시 동구 천변우로 421 (불로동)
광주오치,광주광역시 북구 설죽로 314 (오치동)
광주연제DT,광주광역시 북구 양일로18번길 2 (연제동)
광주신안DT,광주광역시 북구 서암대로 93 (신안동)
광주매곡DT,광주광역시 북구 설죽로 339 (매곡동)
광주두암타운,광주광역시 북구 삼정로 4 (두암동)
광주일곡,광주광역시 북구 설죽로 518 (일곡동)
광주북구청,광주광역시 북구 서방로9번길 30 (중흥동)
광주첨단신용,광주광역시 북구 첨단연신로 101 (신용동)
광주용두DT,광주광역시 북구 임방울대로 1016 (신용동)
전남대,"광주광역시 북구 우치로 110, 1,2,3층 (용봉동)"
광주용봉,광주광역시 북구 저불로 45 (용봉동)
동광주DT,광주광역시 북구 동문대로 148 (두암동)
광주신세계DT,광주광역시 서구 죽봉대로 33 (화정동)
광주상무DT,광주광역시 서구 상무대로 847 (쌍촌동)
광주화정DT,광주광역시 서구 상무대로 1080
광주상무중앙로,광주광역시 서구 상무중앙로 46 (치평동) 1층
광주상무시민로,광주광역시 서구 운천로 253 (치평동) 103호
광주풍암,광주광역시 서구 풍암2로 8 (풍암동) 한아름빌딩
광주금호DT,광주광역시 서구 운천로109번길 1 (쌍촌동)
광주상무대교,"광주광역시 서구 상무중앙로 90, 눈높이상무센터 1층 (치평동)"
광주동림,"광주광역시 서구 하남대로 672-1, 1층 (동천동)"
신세계광주,광주광역시 서구 무진대로 932 번지 신세계 백화점 1층
광주상무,광주광역시 서구 상무중앙로 75 (치평동)
상무치평,"광주광역시 서구 상무자유로 173, 1층 (치평동)"
상무역,"광주광역시 서구 상무중앙로 7, 1층 (치평동)"
신세계광주신관B1,"광주광역시 서구 죽봉대로 61, 패션스트리트 B01호 (화정동)"
서광주DT,광주광역시 서구 서광주로 23 (매월동)
대구영대병원역DT,대구광역시 남구 봉덕로 25 (봉덕동)
대구앞산DT,대구광역시 남구 현충로 32 (대명동)
대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33 (대명동)
대구앞산스카이타운,대구광역시 남구 앞산순환로 375 (대명동)
계명대동산병원,대구광역시 달서구 달구벌대로 1035 (신당동)
대구죽전역,대구광역시 달서구 와룡로 169
대구월곡DT,대구광역시 달서구 월곡로 225 (상인동)
대구광장,대구광역시 달서구 달구벌대로 1710 (두류동)
대구월촌역,대구광역시 달서구 월배로 315 (송현동)
대구진천역,대구광역시 달서구 월배로 91 (진천동)
대구도원DT,대구광역시 달서구 상화로 314 (도원동)
대구월성,대구광역시 달서구 조암로 41 (월성동)
대구수목원,대구광역시 달서구 화암로 379
대구성서IC DT,대구광역시 달서구 달구벌대로 1393
대구감삼DT,대구광역시 달서구 와룡로 131
대구상인역,대구광역시 달서구 월배로 210 (상인동)
대구두류DT,대구광역시 달서구 달구벌대로 1798 (두류동)
대구상인DT,대구광역시 달서구 월곡로 334 (상인동)
대구계명대,대구광역시 달서구 계대동문로 13 (신당동)
대구성서,"대구광역시 달서구 이곡공원로 26, 이곡메디컬빌딩 (이곡동)"
대구서부정류장역,대구광역시 달서구 구마로 265 (성당동)
대구이월드,대구광역시 달서구 두류공원로 200 (두류동)
대구대천,대구광역시 달서구 조암남로32길 2 (대천동)
신세계대구3F(티바나),대구광역시 동구 동부로 149 신세계백화점 대구점 3층
신세계대구8FR,대구광역시 동구 동부로 149 신세계백화점 대구점 8층
동대구로DT,대구광역시 동구 동대구로 422 (신천동)
대구팔공산,대구광역시 동구 파계로 650
대구봉무,대구광역시 동구 팔공로51길 15-11 (봉무동)
동대구터미널,대구광역시 동구 동부로30길 12 (신천동)
대구동촌유원지,대구광역시 동구 효동로2길 45 (효목동)
반야월이마트,"대구광역시 동구 안심로 389-2, 이마트 1층 (신서동)"
대구팔공로DT,대구광역시 동구 팔공로 332 (봉무동)
대구율하,대구광역시 동구 안심로16길 47 (율하동)
대구각산역DT,대구광역시 동구 안심로 383
대구평리DT,대구광역시 서구 서대구로 89 (평리1동)
대구수성도서관DT,대구광역시 수성구 화랑로 112 (만촌동)
대구그랜드호텔R,대구광역시 수성구 동대구로 305 (범어동)
국립대구박물관DT,대구광역시 수성구 청호로 318 (황금동)
대구수성호수R,대구광역시 수성구 용학로 56 (두산동)
대구수성동,대구광역시 수성구 명덕로 460 (수성동3가)
대구수성네거리DT,대구광역시 수성구 들안로 342 (수성동4가)
대구중동DT,대구광역시 수성구 수성로 243 (중동)
대구중동네거리DT,대구광역시 수성구 청수로 51 (중동)
대구상동DT,대구광역시 수성구 무학로 29(상동)
대구황금DT,대구광역시 수성구 청수로 164 (지산동)
대구삼성화재,대구광역시 수성구 동대구로 401 (범어동) 삼성화재사옥
대구시지,대구광역시 수성구 달구벌대로 3216 (신매동)
대구만촌DT,"대구광역시 수성구 달구벌대로 2636, , 853-25번지 (만촌동)"
대구수성하이츠,"대구광역시 수성구 수성로 393, 수성하이츠 1층 (수성동4가)"
동아수성,"대구광역시 수성구 지범로 191, 동아백화점수성점 1층 (범물동)"
수성리더스,대구광역시 수성구 동대구로 95 (두산동)
수성레이크,대구광역시 수성구 수성못길 4 (두산동)
대구범어제니스,"대구광역시 수성구 달구벌대로 2435, 두산위브더제니스아파트 상가 1층 110호 (범어동)"
대구두산DT,대구광역시 수성구 지범로 37 (두산동)
대구들안길DT,대구광역시 수성구 들안로 85 (상동)
대구만촌이마트,대구광역시 수성구 동원로 136 (만촌동)
대구시티센터,대구광역시 중구 국채보상로 611 (문화동)
대구계산,대구광역시 중구 달구벌대로415길 1 (계산동2가)
대구중앙로역,대구광역시 중구 국채보상로 582 (남일동)
대구공평DT,대구광역시 중구 국채보상로 642 (동인동2가)
반월당,대구광역시 중구 달구벌대로 2085 (덕산동) 동아쇼핑
동성로광장,대구광역시 중구 동성로 4 (동성로3가)
동성로로데오,대구광역시 중구 동성로5길 62 (삼덕동1가)
대구종로고택,대구광역시 중구 중앙대로77길 22 (종로2가)
대구반월삼성,대구광역시 중구 달구벌대로 2095 (덕산동)
대구228중앙공원,대구광역시 중구 동성로2길 95 (동성로2가)
대구칠성DT,대구광역시 북구 중앙대로 524 (칠성동2가)
대구유통단지,대구광역시 북구 유통단지로8길 78 106호 (산격동)
대구칠곡대로DT,대구광역시 북구 칠곡중앙대로 348 (태전동)
대구동천,대구광역시 북구 동천로 123
대구침산DT,대구광역시 북구 침산로 126 (침산동)
대구칠곡,대구광역시 북구 학정로 422 (구암동) 태을빌딩
경북대,대구광역시 북구 대학로 75 (산격동)
대구복현DT,대구광역시 북구 대학로 150 (복현동)
대구칠곡읍내DT,칠곡중앙대로 631 칠곡중앙대로 631
대구칠성이마트,대구광역시 북구 침산로 93 (칠성동2가)
대구금호,대구광역시 북구 한강로4길 9 (사수동)
대구테크노폴리스,"대구광역시 달성군 유가면 테크노상업로 84 대경타워 105호, 106호, 107호"
대구죽곡,대구광역시 달성군 달구벌대로 861 (다사읍)
대전한남대DT,대전광역시 대덕구 한밭대로 1122 (중리동)
대전IC DT,대전광역시 대덕구 동서대로 1776 (비래동)
대전신탄진DT,대전광역시 대덕구 대덕대로 1544 (석봉동)
대전송촌,"대전광역시 대덕구 송촌북로36번길 36, 1층 (송촌동)"
신탄진금강DT,대전광역시 대덕구 신탄진로 866 (신탄진동)
대전터미널DT,대전광역시 동구 동서대로 1658 (성남동)
대전판암DT,대전광역시 동구 옥천로 118 (판암동)
대전스타일마켓,"대전광역시 동구 동서대로 1689, 2층 (용전동)"
대전가오,대전광역시 동구 동구청로 101 (가오동)
대전터미널,대전광역시 동구 동서대로1695번길 4 (용전동)
대전신흥역DT,대전광역시 동구 옥천로 89 (판암동)
대전용전DT,대전광역시 동구 한밭대로 1239 (용전동)
대전정부청사역,대전광역시 서구 한밭대로 755 (둔산동)
대전건양대병원,대전광역시 서구 관저동로 170 (관저동)1층
대전탄방역,대전광역시 서구 문정로2번길 95 (탄방동)
대전복수,대전광역시 서구 복수남로 28 (복수동)
대전둔산남로,대전광역시 서구 둔산남로 100 (탄방동)
대전둔산로,대전광역시 서구 대덕대로241번길 35 (둔산동)
대전법원,대전광역시 서구 둔산로123번길 43 (둔산동)
대전가수원DT,대전광역시 서구 계백로 1128 (가수원동)
대전수침교DT,대전광역시 서구 계룡로 692 (용문동)
대전관저,대전광역시 서구 관저로 142 (관저동)
대전대덕로,대전광역시 서구 대덕대로234번길 18 (둔산동)
대전목원대,대전광역시 서구 동서대로 682 (도안동)
대전둔산,대전광역시 서구 대덕대로 189 (둔산동)
대전만년,대전광역시 서구 만년로 81 (만년동)
대전시청사거리,대전광역시 서구 둔산남로 50 (탄방동)
대전월평,대전광역시 서구 청사로123번길 25 (월평동)
둔산은하수,"대전광역시 서구 둔산로31번길 28, 금정빌딩 1층 (둔산동)"
대전탄방,"대전광역시 서구 문정로 78, 정우빌딩 1층 (탄방동)"
대전시청역,대전광역시 서구 둔산로 142 (둔산동)
대전호텔,"대전광역시 서구 둔산중로134번길 13, 둔산관광호텔 (둔산동)"
월평트레이더스,대전광역시 서구 한밭대로 580 (월평동)
둔산삼성프라자,대전광역시 서구 대덕대로 254 삼성전자 메가스토어 대전본점 1층 (둔산동)
대전갈마DT,대전광역시 서구 계룡로 384 (갈마동)
대전용문DT,대전광역시 서구 도산로 336 (용문동)
대전반석역,대전광역시 유성구 북유성대로 303 (반석동)
대전도안DT,대전광역시 유성구 도안대로 573 (봉명동)
대전장대,대전광역시 유성구 유성대로 781 (장대동)
대전유성구청,대전광역시 유성구 어은로 42 (어은동)
대전지족,대전광역시 유성구 지족로 373 (지족동)
대전유성,대전광역시 유성구 온천서로 2 (봉명동)
대전전민,대전광역시 유성구 유성대로 1722 (전민동)
대전관평동,대전광역시 유성구 테크노중앙로 68
대전조이마루,대전광역시 유성구 엑스포로 97번길 40
대전노은,"대전광역시 유성구 은구비남로33번길 26, 1~2층 (지족동)"
충남대정문,대전광역시 유성구 대학로 82 (궁동)
대전테크노밸리,대전광역시 유성구 테크노4로 105 (관평동)
신세계대전R,"대전광역시 유성구 엑스포로 1 (도룡동), 대전신세계 백화점 5F"
대전현대아울렛,대전광역시 유성구 테크노중앙로 123 (용산동)
대전유성NC,대전광역시 유성구 계룡로 119 (봉명동)
대전구암DT,대전광역시 유성구 월드컵대로289번길 6 (구암동)
신세계대전B1,"대전광역시 유성구 엑스포로 1 (도룡동), 대전신세계 백화점 B1층"
대전엑스포스카이,대전광역시 유성구 엑스포로 1 (도룡동) 신세계엑스포점 38층
대전대사DT,대전광역시 중구 계룡로 949 (대사동)
대전태평,대전광역시 중구 태평로 71 (태평동)
대전유천DT,대전광역시 중구 계백로 1604 (유천동)
대전중앙로R,대전광역시 중구 대종로 486 (은행동)
대전세이1층,"대전광역시 중구 계백로 1700, 외 4필지 세이백화점 신관 (문화동)"
은행동,대전광역시 중구 중앙로 164 (은행동)
대전목동DT,대전광역시 중구 동서대로 1387 (목동)
금정남산동DT,부산광역시 금정구 중앙대로 1989 (남산동)
금정구청DT,부산광역시 금정구 중앙대로 1730 (부곡동)
온천장역DT,부산광역시 금정구 식물원로 13 (장전동)
부산대정문,부산광역시 금정구 부산대학로64번길 12 (장전동)
부산대역,"부산광역시 금정구 장전로12번길 64, 1~4층 (장전동)"
부산대,"부산광역시 금정구 금정로68번길 2, 건우빌딩 (장전동)"
금정이마트,부산광역시 금정구 중앙대로1841번길 24 (구서동)
금정구서,부산광역시 금정구 금강로 441 (구서동)
용호동W스퀘어,"부산광역시 남구 분포로 145 (용호동) 더블유스퀘어동 1019호,1020호,1021호,2011호 2012호"
동명대DT,부산광역시 남구 신선로 423 (용당동)
BIFC Mall,부산광역시 남구 문현금융로 40 (문현동) 부산국제금융센터
부산대연역,"부산광역시 남구 수영로 240-1, 1층 (대연동)"
경성대,부산광역시 남구 수영로 312 (대연동)
부산대연못골,부산광역시 남구 못골로 87 (대연동)
부산역라마다,부산광역시 동구 중앙대로196번길 10 (초량동)
부산역아스티,부산광역시 동구 중앙대로214번길 7-8 (초량동)
부산역,부산광역시 동구 중앙대로 216 (초량동)
범일동일타워,부산광역시 동구 조방로 14 (범일동)
서면중앙대로R,부산광역시 부산진구 중앙대로 672 (부전동) 1층 2층
서면로R,부산광역시 부산진구 서면로 49-1 (부전동)
서면NC,부산광역시 부산진구 동천로 92 (전포동) NC백화점 1층
양정역,부산광역시 부산진구 중앙대로 894 (양정동)
동의대역,부산광역시 부산진구 가야대로 589 (가야제1동)
부산개금역,부산광역시 부산진구 가야대로 462 (개금동)
서면전포역,부산광역시 부산진구 전포대로199번길 27 (전포동)
부산서면중앙로,부산광역시 부산진구 중앙대로 701 (부전동)
서면서전로,부산광역시 부산진구 서전로 19 (부전동)
부산서면,부산광역시 부산진구 중앙대로692번길 46-10 (부전동)
서면역,부산광역시 부산진구 서전로 1 (부전동)
부전역,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설1,2층 (부전동)"
서면센트럴스퀘어,부산광역시 부산진구 중앙대로666번길 50 (부전동)
서면메디컬거리,"부산광역시 부산진구 가야대로 783-1, 1층 (부전동)"
서면중앙,부산광역시 부산진구 서면로68번길 1 (부전동)
서면트레이더스,부산광역시 부산진구 시민공원로 31 (부암동)
서면엠디엠타워,부산광역시 부산진구 중앙대로 639 (범천동)
서면문화로,부산광역시 부산진구 서면문화로 10 (부전동)
부산덕천역,부산광역시 북구 만덕대로 30 (덕천동)
부산화명역,부산광역시 북구 금곡대로285번길 5 (화명동)
화명강변DT,부산광역시 북구 금곡대로77 (덕천동)
부산구남역DT,부산광역시 북구 백양대로 1040 (구포동)
부산만덕DT,부산광역시 북구 만덕대로 323 (만덕동)
사상주례DT,부산광역시 사상구 백양대로 520 (주례동)
동서대DT,부산광역시 사상구 가야대로 338 (주례동)
사상역,부산광역시 사상구 사상로 211 (괘법동)
부산사상로,부산광역시 사상구 사상로 200 (괘법동) 105호
삼락강변DT,부산광역시 사상구 낙동대로 1306 (삼락동)
사상엄궁DT,부산광역시 사상구 낙동대로 744 (엄궁동)
다대포비치,부산광역시 사하구 다대로 714 (다대동)
부산하단,부산광역시 사하구 낙동대로 455 (하단동)
다대포DT,부산광역시 사하구 다대로 493 (다대동)
을숙도강변DT,부산광역시 사하구 하신번영로 381-6 (하단동)
부산괴정역,부산광역시 사하구 사하로186번길 6 (괴정동)
하단중앙,부산광역시 사하구 낙동남로 1411 (하단동)
사하장림DT,부산광역시 사하구 을숙도대로 682 (장림동)
부산교대역DT,부산광역시 연제구 중앙대로 1250 (거제동)
연산시티타워,부산광역시 연제구 중앙대로 1125 (연산동)
부산교대역,부산광역시 연제구 명륜로 3 (거제제1동) 한양프라자
부산연산역,부산광역시 연제구 반송로 20 (연산동)
연산중앙로,부산광역시 연제구 중앙대로 1091 (연산동)
부산교대,부산광역시 연제구 교대로 20-2 (거제동)
연산트레이더스,부산광역시 연제구 좌수영로 241 연산동
부산시청,부산광역시 연제구 중앙천로 93 (연산동)
영도청학DT,부산광역시 영도구 태종로 373 (청학동)
영도대교,부산광역시 영도구 태종로 39 (대교동1가)
부산광복로R,부산광역시 중구 광복중앙로 8-2 (광복동3가)
자갈치역,부산광역시 중구 구덕로 54-1 (남포동5가)
국제시장,부산광역시 중구 대청로 80 (대청동3가)
부산중앙역,부산광역시 중구 중앙대로81번길 2 (중앙동4가)
BIFF광장,부산광역시 중구 비프광장로 25 (남포동3가)
남포동역,"부산광역시 중구 구덕로 4, 1~2층 (광복동1가)"
기장역DT,부산광역시 기장군 기장읍 기장대로 527
동부산DT,부산광역시 기장군 기장읍 기장해안로 56
부산정관,부산광역시 기장군 정관읍 정관로 579
부산P.아울렛,부산광역시 기장군 정관로 1133 (175호)
동부산테마파크,부산광역시 기장군 기장읍 동부산관광로 34
광안수변공원,부산광역시 수영구 민락수변로 29 (민락동)
수영역,부산광역시 수영구 수영로 671 (광안동)
금련산역,부산광역시 수영구 수영로464번길 6 (남천동)
광안비치,부산광역시 수영구 광안로62번길 39 (광안동)
수영망미DT,부산광역시 수영구 과정로 68 (망미동)
광안리,부산광역시 수영구 광안해변로 247 (민락동)
남천,부산광역시 수영구 남천바다로 38 (남천동)
밀락더마켓,부산광역시 수영구 민락수변로17번길 56 (민락동)
스타필드명지,부산광역시 강서구 명지국제6로 168 스타필드 명지 1층
명지강변DT,부산광역시 강서구 르노삼성대로 620 (명지동)
명지국제신도시,부산광역시 강서구 명지국제5로 42 (명지동)
명지오션시티,부산광역시 강서구 명지오션시티11로 66 (명지동)
명지퍼스트월드,"부산광역시 강서구 명지국제7로 37 (명지동, 더샵 명지퍼스트월드 2단지)"
동래역,부산광역시 동래구 충렬대로181번길 42
명륜역,부산광역시 동래구 동래로 25
사직구장,부산광역시 동래구 사직북로 4 (사직동)
부산안락DT,부산광역시 동래구 충렬대로 446 (안락동)
동래미남DT,부산광역시 동래구 충렬대로 101 (온천동)
부산사직,부산광역시 동래구 사직북로 24 (사직동)
부산온천장역,"부산광역시 동래구 중앙대로 1523, SK허브스카이위아아파트 1층 (온천동)"
부산동래,부산광역시 동래구 충렬대로 194 (명륜동)
부산송도해수욕장,"부산광역시 서구 송도해변로 97(101,102,201) (암남동)"
부민사거리,부산광역시 서구 구덕로 212 (부민동1가)
부산동대신역,부산광역시 서구 구덕로322번길 7 (동대신동3가)
동아대병원,부산광역시 서구 동대로 8 (동대신동3가)
더해운대R,"부산광역시 해운대구 해운대해변로 197 (우동, 해운대경동제이드아파트)"
수영강변DT,부산광역시 해운대구 수영강변대로 516 (반여동)
센텀파크,"부산광역시 해운대구 센텀중앙로 145 (재송동, 더샵센텀파크1차아파트)"
해운대역,부산광역시 해운대구 구남로 9 (우동)
부산재송DT,부산광역시 해운대구 해운대로 189 (재송동)
해운대,부산광역시 해운대구 구남로 49 (중동) 101호
센텀로,부산광역시 해운대구 센텀2로 10 (우동) 센텀메디컬센타 1층 스타벅스 센텀로점
센텀신세계B1,부산광역시 해운대구 센텀남대로 35 (우동) 센텀시티 신세계UEC
해운대달맞이DT,부산광역시 해운대구 달맞이길 57 (중동) 1~3층
센텀그린타워,부산광역시 해운대구 센텀중앙로 78 (우동)
부산송정비치,부산광역시 해운대구 송정해변로 36 (송정동)
장산역,부산광역시 해운대구 해운대로 802 (좌동)
하버타운,부산광역시 해운대구 해운대해변로 257 (우동)
벡스코,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)"
베네시티,부산광역시 해운대구 해운대해변로 163 (우동)
팔레드시즈,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호, 2-3호 (중동)"
블루스퀘어,부산광역시 해운대구 좌동로 96 (좌동)
센텀시티역,"부산광역시 해운대구 센텀동로 9, 트럼프월드센텀아파트 1층 (우동)"
제니스스퀘어,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)"
마린시티아이파크,부산광역시 해운대구 마린시티2로 38 (우동)
해운대달맞이,부산광역시 해운대구 달맞이길 189 (중동)
해운대이마트,부산광역시 해운대구 좌동순환로 511 (중동) 1층
센텀드림월드,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)"
센텀KNN,부산광역시 해운대구 센텀서로 30 (우동)
월드마크센텀,"부산광역시 해운대구 센텀동로 25, 1층 (우동)"
해운대NC,부산광역시 해운대구 해운대로 813 (좌동)
해운대좌동,부산광역시 해운대구 좌동순환로 178 (좌동)
해운대 엑스더스카이,부산광역시 해운대구 달맞이길30
센텀신세계3F,부산광역시 해운대구 센텀남대로 35 (우동)
해운대중동역,부산광역시 해운대구 좌동순환로 6 (중동)
센텀몰1F,부산광역시 해운대구 센텀4로 15 (우동)
그랜드조선 부산,부산광역시 해운대구 해운대해변로 292 (중동)
울산번영로,울산광역시 남구 삼산로 182 (달동)
울산대공원,울산광역시 남구 대공원입구로 4 (옥동)
울산도산사거리DT,울산광역시 남구 대암로129번길 9-6 (야음동)
울산시청사거리DT,울산광역시 남구 중앙로 180 (달동)
울산남구청DT,울산광역시 남구 번영로 215 (신정동)
울산중리사거리DT,울산광역시 남구 돋질로 310 (삼산동)
울산센트럴,울산광역시 남구 삼산로 231 (달동)
울산삼산로,울산광역시 남구 삼산로 278 번길 8 (삼산동)
울산대,울산광역시 남구 대학로84번길 5-3 (무거동)
울산디자인거리,"울산광역시 남구 삼산중로74번길 30-1, 1~2층 (삼산동)"
울산신복,울산광역시 남구 대학로 152 (무거동)
울산삼산대로,"울산광역시 남구 삼산로 257, 1층 (달동)"
울산번영로DT,울산광역시 남구 달삼로 3 (달동)
울산삼성프라자,울산광역시 남구 삼산로 86 (달동)
울산신정DT,울산광역시 남구 문수로 435 (신정동)
울산호계DT,울산광역시 북구 산업로 1464 (신천동)
울산북구청DT,울산광역시 북구 산업로 1011 (연암동)
울산진장,울산광역시 북구 진장17길 10 (진장동)
울산정자비치DT,울산광역시 북구 동해안로 1601 (산하동)
울산화봉,울산광역시 북구 화봉로 75 (화봉동)
북울산삼성프라자,울산광역시 북구 진장유통로 65 (진장동)
울산간절곶,울산광역시 울주군 서생면 대송리 25-18
울산 KTX,울산광역시 울주군 삼남읍 도호1길 16
울산MBC DT,울산광역시 중구 번영로 434 (복산동)
울산성안,울산광역시 중구 성안12길 45 (성안동)
울산성남삼거리,울산광역시 중구 젊음의2거리 33 (성남동)
울산약사DT,울산광역시 중구 북부순환도로 754 (약사동)
울산국가정원,울산광역시 중구 태화강국가정원길 205 (태화동)
현대동구,울산광역시 동구 방어진순환도로 899 (서부동) 현대백화점주차장
울산테라스파크,울산광역시 동구 방어진순환도로 652 (일산동)
울산일산비치DT,울산광역시 동구 일산진11길 95 (일산동)
현대동구5F,울산광역시 동구 방어진순환도로 899 (서부동)
울산주전비치,울산광역시 동구 동해안로 667 (주전동)
인천강화DT,인천광역시 강화군 강화읍 강화대로 343
경인교대입구역DT,인천광역시 계양구 계양대로 131 (작전동)
인천계양,인천광역시 계양구 장제로 808 (계산동)
인천작전,"인천광역시 계양구 계양대로 37, 1층 (작전동)"
인천계산역DT,인천광역시 계양구 경명대로 1105 (계산동)
계양BMW,인천광역시 계양구 서운산단로2길 6 (서운동) BMW 바바리안모터스
인천학익DT,인천광역시 미추홀구 매소홀로 368 (학익동)
인천용현DT,인천광역시 미추홀구 아암대로 107 (용현동)
주안역,"인천광역시 미추홀구 주안로 100 (주안동) 1층,2층"
인하대,인천광역시 미추홀구 인하로 59 (용현동)
제물포역DT,인천광역시 미추홀구 경인로 103 (숭의동)
인천주안DT,인천광역시 미추홀구 인주대로 443 (주안동)
인천도화DT,인천광역시 미추홀구 장고개로 28 (도화동)
인하대역,인천광역시 미추홀구 독배로 309 (용현동)
SSG랜더스필드2F,인천광역시 미추홀구 매소홀로 618 (문학동)
SSG랜더스필드1F,인천광역시 미추홀구 매소홀로 618 (문학동)
인천용일사거리DT,인천광역시 미추홀구 한나루로 525 (주안동)
송림트레이더스,"인천광역시 동구 봉수대로 82, 이마트 트레이더스송림점1층 (송림동)"
인천갈산DT,인천광역시 부평구 장제로 371 (갈산동)
