Name,Address
인천삼산,인천광역시 부평구 길주로 643 (삼산동)
부평사거리,"인천광역시 부평구 부평문화로 52, 1~2층 (부평동)"
부평시장역,"인천광역시 부평구 부평대로 60, 현대해상화재보험 1층 (부평동)"
부평,인천광역시 부평구 경원대로 1397 (부평동)
동암역,"인천광역시 부평구 동암광장로 14, 1~2층 (십정동)"
부평역,"인천광역시 부평구 경원대로 1377, 1-4층 (부평동)"
인천테크노밸리,인천광역시 부평구 주부토로 236 (갈산동)
인천성모병원,인천광역시 부평구 동수로 56 (부평동)
인천스퀘어원,인천광역시 연수구 청능대로 210 (동춘동)
인천동춘DT,인천광역시 연수구 앵고개로 171 (동춘동)
인천송도,"인천광역시 연수구 컨벤시아대로 55 (송도동, 송도이안)"
송도트리플R,인천광역시 연수구 송도과학로16번길 33-1 (송도동)
인천송도DT,인천광역시 연수구 하모니로 136 (송도동)
인천연수,"인천광역시 연수구 용담로 115 (연수동) 105,106,203호"
송도캠퍼스타운역,인천광역시 연수구 송도과학로27번길 55 (송도동) 롯데캠퍼스타운
송도커넬워크,인천광역시 연수구 아트센터대로 131 (송도동)
송도센트럴파크,인천광역시 연수구 센트럴로 194 (송도동)
연수이마트,인천광역시 연수구 경원대로 184 (동춘동)
인천옥련DT,인천광역시 연수구 능허대로 137 (옥련동)
송도캐슬파크,인천광역시 연수구 인천타워대로132번길 9 (송도동)
송도현대아울렛,인천광역시 연수구 송도국제대로 123 (송도동)
송도컨벤시아대로DT,인천광역시 연수구 벤처로 10 (송도동)
검단사거리역,인천광역시 서구 완정로 172 (마전동)
인천청라센트럴,"인천광역시 서구 청라커낼로 300 (청라동, 청라센트럴에일린의뜰)"
인천청라한신,인천광역시 서구 청라커낼로260번길 27 (청라동)
인천당하DT,인천광역시 서구 원당대로 668 (당하동)
인천청라타워돔,인천광역시 서구 중봉대로 612번길 10-17
인천서구청DT,인천광역시 서구 서곶로 277 (심곡동)
인천청라,인천광역시 서구 중봉대로 586번길 19
루원시티,"인천광역시 서구 가정로 437 (가정동, 루원시티 SK Leaders VIEW)"
인천공촌DT,인천광역시 서구 경명대로694번길 2 (공촌동)
인천청라DT,인천광역시 서구 국제대로 237 (청라동)
부평삼거리역DT,인천광역시 남동구 경인로 750 (간석동)
인천구월아시아드,인천광역시 남동구 인하로 556 (구월동)
인천터미널사거리,인천광역시 남동구 예술로 126 (구월동)
인천서창,"인천광역시 남동구 서창남로 51 (서창동) 101,102,103호"
인천간석DT,인천광역시 남동구 경원대로 974 (간석동)
인천예술회관역,인천광역시 남동구 예술로 174 (구월동) 흥국생명
구월로데오,"인천광역시 남동구 인하로 497-22, 2층 (구월동)"
구월길병원,"인천광역시 남동구 남동대로 773, , 14 삼성화재 인천사옥 (구월동)"
인천구월,"인천광역시 남동구 예술로 138 (구월동) 101,102,111,201,209호 일부,210호 일부"
인천논현,"인천광역시 남동구 논고개로 93, 111,112, 206, 207호 (논현동)"
인천구월중앙,인천광역시 남동구 용천로 70 (구월동)
간석중앙공원DT,인천광역시 남동구 경인로 563 (간석동)
영종하늘도시,인천광역시 중구 하늘중앙로195번길 15 (중산동)
인천공항T2출국,인천광역시 중구 공항로 272 (운서동)
인천공항T2에어,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 3층 탑승지역 25-235
인천공항T2입국,인천광역시 중구 공항로 272 (운서동) 제2여객터미널 1층 환영홀지역 23-202
영종도운서역,인천광역시 중구 신도시남로142번길 17 (운서동)
인천공항중앙,인천광역시 중구 공항로 272 (운서동) 인천국제공항여객터미널 FB-P5-73
인천공항랜드,인천광역시 중구 공항로 272 (운서동) 인천공항
동해DT,강원도 동해시 중앙로 219 (천곡동)
동해IC DT,강원도 동해시 동해대로 5453 (평릉동)
설악쏘라노,강원도 속초시 미시령로2983번길 111 (장사동)
속초DT,강원도 속초시 동해대로 4114 (조양동)
속초중앙로,강원도 속초시 중앙로 123 (금호동)
속초교동DT,강원도 속초시 청대로 339 (교동)
춘천구봉산R,강원도 춘천시 동면 순환대로 1154-63
춘천후평DT,강원도 춘천시 후석로 318 (후평동)
춘천석사DT,강원도 춘천시 후석로 13 (석사동)
춘천명동,강원도 춘천시 중앙로 57 (중앙로2가)
춘천이마트,강원도 춘천시 경춘로 2353 (온의동) E-마트 춘천점내 1층
강원대,강원도 춘천시 서부대성로 243-1 (효자동)
춘천퇴계DT,강원도 춘천시 안마산로 95 (퇴계동)
춘천온의,강원도 춘천시 방송길 104 (온의동)
비발디파크,강원도 홍천군 서면 한치골길 262
오션월드,강원도 홍천군 서면 한치골길 262
강릉송정DT,강원도 강릉시 경강로 2400 (송정동)
강릉강문해변,강원도 강릉시 창해로350번길 3 (강문동)
강릉교동광장,강원도 강릉시 교동광장로 114 (교동)
강릉중앙로,강원도 강릉시 경강로 2096 (임당동)
강릉안목항,강원도 강릉시 창해로14번길 40 (견소동)
강릉율곡DT,강원도 강릉시 율곡로 2996 (교동)
소노델피노,강원도 고성군 토성면 미시령옛길 1153
원주반곡DT,강원도 원주시 동부순환로 37 (반곡동)
원주명륜DT,강원도 원주시 남원로 588 (명륜동)
원주무실,강원도 원주시 능라동길 73 (무실동)
원주혁신도시,강원도 원주시 혁신로 61 (반곡동)
원주터미널,강원도 원주시 서원대로 178 (단계동)
오크밸리,강원도 원주시 지정면 오크밸리1길 70
원주IC DT,강원도 원주시 현충로 294 (태장동)
원주단구DT,강원도 원주시 서원대로 443 (단구동)
김해구산DT,경상남도 김해시 김해대로 1918 (구산동)
김해진영DT,경상남도 김해시 진영읍 여래로20번길 34-26
신세계김해R,경상남도 김해시 김해대로 2232 신세계백화점 1층
김해이마트,경상남도 김해시 김해대로 2232 김해이마트 1층
김해대로DT,경상남도 김해시 김해대로 2465
김해외동DT,경상남도 김해시 분성로 146 (외동)
김해율하,경상남도 김해시 율하카페길 77 (관동동) 1층
김해삼계,경상남도 김해시 가야로 182 (삼계동)
김해내동,경상남도 김해시 경원로 67 (내동)
김해주촌DT,경상남도 김해시 주촌면 선천로 99
김해가야로DT,경상남도 김해시 가야로 450 (동상동)
장유율하,경상남도 김해시 율하6로 67 1층 105호 (장유동)
진영신도시,경상남도 김해시 진영읍 장등로10번길 1
김해율하신도시,경상남도 김해시 율하3로 32 (율하동)
김해금관대로DT,경상남도 김해시 금관대로 1293 (내동)
밀양DT,경상남도 밀양시 밀양대로 1792 (삼문동)
경남사천DT,경상남도 사천시 사천읍 사천대로 1844
사천벌리,경상남도 사천시 주공로 31 (벌리동)
진주평거,경상남도 진주시 진양호로 206 BYC빌딩1층
진주칠암DT,경상남도 진주시 진주대로829번길 2 (주약동)
진주중안,경상남도 진주시 진양호로527번길 3 (중안동)
진주신안,경상남도 진주시 진양호로 353 (신안동)
진주경상대,경상남도 진주시 진주대로 510 (가좌동)
진주혁신도시,경상남도 진주시 에나로127번길 30 (충무공동)
경상대칠암캠퍼스,경상남도 진주시 동진로 22 (칠암동)
마산회원DT,경상남도 창원시 마산회원구 3·15대로 518 (회원동)
창원상남로,경상남도 창원시 성산구 상남로 88 (상남동)
마산역DT,경상남도 창원시 마산회원구 3·15대로 715 (석전동)
마산해안대로DT,경상남도 창원시 마산합포구 해안대로 383 (오동동)
진해자은DT,경상남도 창원시 진해구 진해대로 962 (자은동)
창원역DT,경상남도 창원시 의창구 의창대로 68 (팔용동)
창원호계DT,경상남도 창원시 마산회원구 내서읍 호원로 315
창원마창대교,경상남도 창원시 성산구 삼귀로 159 (귀곡동)
삼성창원병원,경상남도 창원시 마산회원구 팔용로 158 (합성동)
마산터미널,경상남도 창원시 마산회원구 합성남로 6-1 (합성동)
창원상남사거리,경상남도 창원시 성산구 단정로 25
진해용원,경상남도 창원시 진해구 안골로 336 (용원동) 형제빌딩
창원리베라,경상남도 창원시 성산구 중앙대로100번길 9 (상남동)
창원상남중앙,경상남도 창원시 성산구 마디미로 20 (상남동)
창원상남동R,경상남도 창원시 성산구 상남로 132 (상남동)
신세계마산,경상남도 창원시 마산합포구 합포로 251 (산호동) 신세계백화점 내 지하1층
창원시티세븐,경상남도 창원시 성산구 원이대로 320 (대원동)
경남대,경상남도 창원시 마산합포구 월영남로 3 (해운동)
창원용지호수,경상남도 창원시 성산구 용지로169번길 1 (용호동)
마산월남동DT,경상남도 창원시 마산합포구 3·15대로 70 (월남동2가)
마산봉암로DT,경상남도 창원시 마산회원구 봉양로 118 (봉암동)
창원반림,경상남도 창원시 성산구 반송로 150 (반림동)
창원유니시티,경상남도 창원시 의창구 중동중앙로 47 (중동)
창원NC파크R,"경상남도 창원시 마산회원구 삼호로 63 (양덕동), 창원NC파크"
창원중앙역,경상남도 창원시 의창구 용동로 91 (사림동)
진해부산신항,경상남도 창원시 진해구 신항동로 121 (용원동) 112호
창원대로DT,경상남도 창원시 성산구 성산패총로 182 (가음정동)
창원사파,"경상남도 창원시 성산구 창이대로689번길 4-4 (사파동) 1,2층"
진해장천,"경상남도 창원시 진해구 충장로 662 (장천동), [108호, 109호, 110호, 111호]"
창원파티마병원,경상남도 창원시 의창구 창이대로 45 (명서동)
창원내서,경상남도 창원시 마산회원구 내서읍 광려천서로 81
창원팔용,경상남도 창원시 의창구 팔용로 419 (팔용동)
통영이마트,경상남도 통영시 광도면 죽림4로 9
거제대로DT,경상남도 거제시 거제대로 4521 (수월동)
거제고현,경상남도 거제시 거제중앙로 1936 (고현동)
소노캄거제,경상남도 거제시 일운면 거제대로 2660 1층
디큐브거제,경상남도 거제시 장평로 12 (장평동)
거제옥포DT,경상남도 거제시 거제대로 3718 (옥포동)
남양산IC DT,경상남도 양산시 동면 양산대로 532
양산증산역,경상남도 양산시 물금읍 증산역로 177
양산가촌,경상남도 양산시 물금읍 야리로 25
양산덕계DT,경상남도 양산시 웅상대로 860 (덕계동)
양산터미널,경상남도 양산시 양산역1길 7 (중부동) 양산시외버스터미널
양산범어,경상남도 양산시 물금읍 범어로 62
양산이마트,"경상남도 양산시 양산역6길 12, 양산이마트 1층 (중부동)"
양산물금DT,경상남도 양산시 물금읍 황산로 346
경산중방DT,경상북도 경산시 경안로 222 (중방동)
영남대아트센터,경상북도 경산시 대학로 280 (대동) 영남대학교
영남대중앙도서관,경상북도 경산시 대학로 280 (조영동) 영남대학교
영남대,"경상북도 경산시 청운로 16, 1~3층 (대동)"
대구가톨릭대,경상북도 경산시 하양읍 하양로 18
경산이마트,경상북도 경산시 옥산로 227 (중산동) 경산이마트
대구대학교,경상북도 경산시 진량읍 대구대로 201
경산임당역DT,경상북도 경산시 대학로 208 (계양동)
경산중산,"경상북도 경산시 펜타힐즈로 74 (중산동) 109호,110호,111호,112호"
경산하양DT,경상북도 경산시 진량읍 대학로 1417 경상북도 경산시 진량읍 대학로 1417
경주보문,경상북도 경주시 보문로 537 (천군동)
경주터미널DT,경상북도 경주시 태종로 686 (사정동)
경주황성,경상북도 경주시 황성로1번길 4 (황성동)
경주대릉원,경상북도 경주시 첨성로 125 (황남동)
경주보문호수DT,경상북도 경주시 보문로 132-6 (북군동)
경주중앙,경상북도 경주시 원효로 105-1 (노동동)
경주보문로DT,"경상북도 경주시 보문로 510-6, 외 1번지(신평동 719-220) (천군동)"
경주용강DT,경상북도 경주시 산업로 4350 (용강동)
구미상모DT,경상북도 구미시 금오대로 439 (상모동)
구미도량DT,경상북도 구미시 야은로 312 (도량동)
구미옥계,경상북도 구미시 옥계북로 20 (양포동)
구미시청DT,경상북도 구미시 송정대로 27 (송정동)
구미인의,경상북도 구미시 인동중앙로 15 (인의동)
구미금오산DT,경상북도 구미시 금오산로 205 (남통동)
구미,경상북도 구미시 구미중앙로 94 (원평동)
구미인동,"경상북도 구미시 인동가산로 9-3, 노블레스타워 1층 (황상동)"
구미공단,"경상북도 구미시 1공단로 212, HALLA SIGMA VALLEY 106 (공단동)"
구미광평DT,경상북도 구미시 구미대로 188 (광평동)
구미문성DT,경상북도 구미시 고아읍 들성로 207
구미확장단지,경상북도 구미시 산동읍 신당1로4길 19
상주무양DT,경상북도 상주시 영남제일로 1683 (무양동)
포항쌍용DT,경상북도 포항시 남구 중흥로 122 (상도동)
포항오천,경상북도 포항시 남구 오천읍 원동로 15
포항대이,경상북도 포항시 남구 포스코대로 124 (대잠동)
포항이마트,"경상북도 포항시 남구 냉천로 10, 이마트 포항점 1층 (인덕동)"
포항시청,경상북도 포항시 남구 시청로 5 (대잠동)
포항세명기독병원,경상북도 포항시 남구 포스코대로 351 (대도동)
포항포스코DT,경상북도 포항시 남구 동해안로6213번길 15-15 (동촌동)
문경새재,경상북도 문경시 문경읍 새재로 906
김천구미역,경상북도 김천시 혁신3로 26 (율곡동)
김천시청DT,경상북도 김천시 시청로 47 (대신동)
안동이마트,경상북도 안동시 옥동1길 2 (옥동)
안동병원,경상북도 안동시 앙실로 11 (수상동)
안동시청,경상북도 안동시 서동문로 173 (삼산동)
안동강변DT,경상북도 안동시 육사로 327 (법흥동)
안동옥동,경상북도 안동시 광명로 166 (옥동)
영천완산DT,경상북도 영천시 영화로 272 (완산동)
포항죽도DT,경상북도 포항시 북구 새천년대로 486 699-1 에스오일
포항장성DT,경상북도 포항시 북구 새천년대로 1255 (장성동)
포항양덕,경상북도 포항시 북구 장량로 162 (양덕동)
포항중앙,경상북도 포항시 북구 불종로 41 (신흥동)
포항영일대비치,경상북도 포항시 북구 삼호로 186 (항구동)
포항중앙로DT,경상북도 포항시 북구 중앙로 197 (죽도동)
전남광양DT,전라남도 광양시 중마중앙로 143
광양LF,전라남도 광양시 광양읍 순광로 466
광양마동DT,전라남도 광양시 백운로 1267 (마동)
목포터미널DT,전라남도 목포시 영산로 495 (상동)
목포하당,전라남도 목포시 백년대로 293 (상동)
목포북항DT,전라남도 목포시 고하대로 694 (산정동)
목포옥암,전라남도 목포시 백년대로375번길 1 (옥암동)
목포평화광장,전라남도 목포시 미항로 137 (상동)
목포용해DT,전라남도 목포시 대양로 133 (용해동)
목포남악,전라남도 무안군 남악3로82번길 11
전남도청DT,전라남도 무안군 삼향읍 남악3로 54
순천연향,전라남도 순천시 연향번영길 118 (연향동)
순천신대,전라남도 순천시 해룡면 향매로 99
순천호수공원,전라남도 순천시 왕지2길 17 (왕지동)
순천조례,전라남도 순천시 비봉2길 9 (조례동)
순천용당DT,전라남도 순천시 중앙로 398 (가곡동)
순천팔마DT,전라남도 순천시 백강로 23 (연향동)
순천이마트,전라남도 순천시 팔마로 191 (덕암동)
여수해양공원,전라남도 여수시 이순신광장로 192 (종화동)
여수학동DT,전라남도 여수시 도원로 271 (학동)
여수웅천,전라남도 여수시 예울마루로 37-53 (웅천동)
여수둔덕DT,전라남도 여수시 좌수영로 482 (둔덕동)
여수여서,전라남도 여수시 여문1로 49 (여서동)
여수여천,전라남도 여수시 망마로 39 (학동)
여수신월DT,전라남도 여수시 신월로 567 (신월동)
여수마리나,전라남도 여수시 웅천로 134 (웅천동)
전남화순DT,전라남도 화순군 화순읍 서양로 478
전남나주,전라남도 나주시 상야1길 21 (빛가람동)
나주혁신DT,전라남도 나주시 빛가람로 838 (빛가람동)
전북김제DT,전라북도 김제시 콩쥐팥쥐로 11 (검산동)
전북남원DT,전라북도 남원시 요천로 1477 (쌍교동)
익산모현,전라북도 익산시 선화로 106 (모현동1가)
익산영등DT,전라북도 익산시 무왕로 1005 (영등동)
익산영등,전라북도 익산시 무왕로 1052 (영등동)
익산동산DT,전라북도 익산시 평동로 722 (동산동)
전주송천DT,전라북도 전주시 덕진구 송천중앙로 228 (송천동2가)
전북대병원DT,전라북도 전주시 덕진구 백제대로 616 (금암동)
전주혁신도시,전라북도 전주시 덕진구 기지로 68 (중동)
전주덕진광장DT,전라북도 전주시 덕진구 기린대로 491 (덕진동1가)
전북대,전라북도 전주시 덕진구 명륜4길 12 (덕진동1가)
전주에코시티,전라북도 전주시 덕진구 세병2길 10 (송천동2가)
전주인후DT,전라북도 전주시 덕진구 아중로 135 (인후동1가)
전주호성DT,전라북도 전주시 덕진구 동부대로 860 (호성동1가)
전주IC DT,전라북도 전주시 덕진구 기린대로 1022 (여의동)
전주평화DT,전라북도 전주시 완산구 모악로 4696 (평화동2가)
전주백제대로DT,전라북도 전주시 완산구 백제대로 242 (중화산동2가)
전주효자DT,전라북도 전주시 완산구 용머리로 7 (효자동1가)
전주서신,전라북도 전주시 완산구 서신로 104 (서신동)
전주홍산로,전라북도 전주시 완산구 홍산로 238 (효자동2가)
전주한옥마을,전라북도 전주시 완산구 팔달로 123 (전동)
전북도청,전라북도 전주시 완산구 홍산중앙로 22 (효자동3가)
전주경원,전라북도 전주시 완산구 전주객사4길 44-18 (고사동)
전주신시가지,전라북도 전주시 완산구 우전로 255 (효자동2가)
전주효천DT,전라북도 전주시 완산구 천잠로 149 (효자동2가)
전북정읍DT,전라북도 정읍시 충정로 271 (수성동)
군산나운DT,전라북도 군산시 하나운안2길 4 (나운동)
군산수송,전라북도 군산시 수송로 195 (수송동)
군산대,전라북도 군산시 황룡로 7 (미룡동)
군산조촌DT,전라북도 군산시 번영로 133 (조촌동)
군산수송DT,전라북도 군산시 공단대로 243 (수송동)
공주동학사DT,충청남도 공주시 반포면 동학사1로 114
공주신관,충청남도 공주시 번영1로 113 (신관동)
공주DT,충청남도 공주시 무령로 467 (신관동)
논산중앙,충청남도 논산시 중앙로398번길 13-10
논산내동DT,충청남도 논산시 시민로 165 (내동)
충남보령DT,충청남도 보령시 대해로 101 (궁촌동)
서산예천DT,충청남도 서산시 나무장1길 22 (예천동)
서산호수,"충청남도 서산시 호수공원2로 33, 1~2층 (읍내동)"
천안신부R,충청남도 천안시 동남구 만남로 43 (신부동) 아라리오갤러리
천안청당,충청남도 천안시 동남구 청수14로 102 (청당동)
천안안서,충청남도 천안시 동남구 안서3길 3 (안서동)
천안IC DT,충청남도 천안시 동남구 신부15길 3 (신부동)
천안신부동,충청남도 천안시 동남구 만남로 9 (신안동)
신세계천안아산,충청남도 천안시 동남구 만남로 43 (신부동) B관 4층
천안청당신도시,충청남도 천안시 동남구 남부대로 322 1동 1층
천안대로DT,충청남도 천안시 동남구 천안대로 527 (구성동)
천안서북이마트,충청남도 천안시 서북구 삼성대로 20 (백석동)
천안백석,충청남도 천안시 서북구 백석로 85-4 (백석동)
천안불당DT,충청남도 천안시 서북구 불당34길 4 (불당동)
천안서부대로DT,충청남도 천안시 서북구 서부대로 405 (쌍용동)
천안두정역DT,충청남도 천안시 서북구 두정로 264 (두정동)
천안시청,충청남도 천안시 서북구 불당22대로 67 (불당동)
천안쌍용역,충청남도 천안시 서북구 충무로 133 (쌍용동)
천안신불당,충청남도 천안시 서북구 불당33길 24 (불당동)
천안성정DT,충청남도 천안시 서북구 동서대로 154 (성정동)
천안불당,충청남도 천안시 서북구 불당4로 91 (불당동)
천안두정,충청남도 천안시 서북구 부성4길 3 (부성1동)
천안이마트,충청남도 천안시 서북구 충무로 187 (쌍용동) 천안이마트 1층
천안업성레이크,충청남도 천안시 서북구 업성수변로 69 (성성동)
충남홍성DT,충청남도 홍성군 홍성읍 도청대로 58
충남도청,충청남도 홍성군 홍북읍 청사로150번길 24
계룡대로DT,충청남도 계룡시 엄사면 번영로 6
당진시곡DT,충청남도 당진시 서해로 6283 (시곡동)
당진문예의전당,충청남도 당진시 시청1로 78 (읍내동) 1층
아산방축DT,충청남도 아산시 온천대로 1392 (방축동)
아산배방,충청남도 아산시 배방읍 배방로 22
아산탕정,충청남도 아산시 탕정면 탕정면로 10
아산용화,충청남도 아산시 어의정로 117 (용화동)
아산터미널,충청남도 아산시 번영로 232 (모종동)
아산권곡,충청남도 아산시 문화로 271-6 (권곡동) 101~105호
아산모종,충청남도 아산시 온천대로 1721 (모종동) 아산축산농협 1층
천안아산역,충청남도 아산시 배방읍 고속철대로 147 101~105호
충북증평,충청북도 증평군 증평읍 광장로 40
청주용암DT,충청북도 청주시 상당구 1순환로 1243 (용암동)
청주용담DT,충청북도 청주시 상당구 산성로 129 (용담동)
청주서문,충청북도 청주시 상당구 무심동로392번길 20 (서문동)
충주호암DT,충청북도 충주시 중원대로 3245 (호암동)
충주시청DT,충청북도 충주시 국원대로 208-1 (금릉동)
충주터미널,충청북도 충주시 봉계13길 2 (봉방동)
충주연수,충청북도 충주시 계명대로 227 (연수동)
충주교현DT,충청북도 충주시 금봉대로 358 (교현동)
충북혁신도시,충청북도 음성군 맹동면 원중로 1416
제천DT,충청북도 제천시 의림대로 181 (중앙로2가)
청주비하DT,충청북도 청주시 흥덕구 2순환로 1078 (비하동)
청주오송,충청북도 청주시 흥덕구 오송읍 오송생명로 220
청주봉명DT,충청북도 청주시 흥덕구 1순환로 514 (봉명동)
청주강서,충청북도 청주시 흥덕구 강서로 121 (강서동)
청주지웰시티,충청북도 청주시 흥덕구 대농로 43 (복대동) 신영지웰시티 1차 상업시설
현대충청,충청북도 청주시 흥덕구 직지대로 308 (복대동)
청주터미널,충청북도 청주시 흥덕구 풍산로 15 (가경동)
청주복대지웰,충청북도 청주시 흥덕구 대농로 52 (복대동)
청주이마트,충청북도 청주시 서원구 청남로 1853 (미평동)
청주사직DT,충청북도 청주시 서원구 사직대로 302 (사직동)
청주성화,충청북도 청주시 서원구 복대로 5 (개신동)
충북대,충청북도 청주시 서원구 내수동로 113 (사창동)
청주분평DT,충청북도 청주시 서원구 1순환로 1154 (분평동)
오창호수공원,"충청북도 청주시 청원구 오창읍 중심상업1로 20 101,102,103,104호"
청주율량DT,충청북도 청주시 청원구 충청대로107번길 8 (율량동)
오창과학단지,충청북도 청주시 청원구 오창읍 과학산업2로 385
제주신화월드R,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 B1-29
제주에듀시티,제주특별자치도 서귀포시 대정읍 에듀시티로 36
제주성산DT,제주특별자치도 서귀포시 성산읍 일출로 80
제주중문DT,제주특별자치도 서귀포시 천제연로 95(색달동)
제주송악산,제주특별자치도 서귀포시 대정읍 형제해안로 322
서귀포DT,제주특별자치도 서귀포시 일주서로 11 (강정동)
성산일출봉,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층"
제주중문,제주특별자치도 서귀포시 중문관광로110번길 32 (색달동)
서귀포올레,제주특별자치도 서귀포시 중정로 69 (서귀동)
제주도남DT,제주특별자치도 제주시 연북로 394 (도남동)
제주협재,제주특별자치도 제주시 한림읍 한림로 337
제주외도DT,제주특별자치도 제주시 일주서로 7300 (외도일동)
제주삼화DT,제주특별자치도 제주시 연삼로 884 (도련일동)
제주시청,제주특별자치도 제주시 중앙로 215 (이도이동)
제주함덕,제주특별자치도 제주시 조천읍 조함해안로 522
제주노형공원,제주특별자치도 제주시 연북로 12 (노형동)
제주애월DT,제주특별자치도 제주시 애월읍 애월해안로 376
제주칠성,제주특별자치도 제주시 관덕로 55 (일도일동)
제주노형,제주특별자치도 제주시 도령로 27 (노형동)
제주용담DT,제주특별자치도 제주시 서해안로 380 (용담삼동) 화이트하우스
신제주이마트,"제주특별자치도 제주시 1100로 3348, 신제주이마트 1층 (노형동)"
제주노형로,제주특별자치도 제주시 노형로 376 (노형동)
제주노형DT,제주특별자치도 제주시 월랑로 68 (노형동)
제주서해안로DT,제주특별자치도 제주시 서해안로 624 (용담삼동)
제주일도DT,제주특별자치도 제주시 동광로 130 (일도이동)
제주공항DT,제주특별자치도 제주시 월성로 42 (용담이동)
